ProductKey,ProductName,Color,StandardCost,ListPrice,ProductSubcategory,ProductCategory,ProductDescription,ProductStatus
1,Adjustable Race,NA,NULL,NULL,NULL,NULL,NULL,Current
2,Bearing Ball,NA,NULL,NULL,NULL,NULL,NULL,Current
3,BB Ball Bearing,NA,NULL,NULL,NULL,NULL,NULL,Current
4,Headset Ball Bearings,NA,NULL,NULL,NULL,NULL,NULL,Current
5,Blade,NA,NULL,NULL,NULL,NULL,NULL,Current
6,LL Crankarm,Black,NULL,NULL,NULL,NULL,NULL,Current
7,ML Crankarm,Black,NULL,NULL,NULL,NULL,NULL,Current
8,HL Crankarm,Black,NULL,NULL,NULL,NULL,NULL,Current
9,Chainring Bolts,Silver,NULL,NULL,NULL,NULL,NULL,Current
10,Chainring Nut,Silver,NULL,NULL,NULL,NULL,NULL,Current
11,Chainring,Black,NULL,NULL,NULL,NULL,NULL,Current
12,Crown Race,NA,NULL,NULL,NULL,NULL,NULL,Current
13,Chain Stays,NA,NULL,NULL,NULL,NULL,NULL,Current
14,Decal 1,NA,NULL,NULL,NULL,NULL,NULL,Current
15,Decal 2,NA,NULL,NULL,NULL,NULL,NULL,Current
16,Down Tube,NA,NULL,NULL,NULL,NULL,NULL,Current
17,Mountain End Caps,NA,NULL,NULL,NULL,NULL,NULL,Current
18,Road End Caps,NA,NULL,NULL,NULL,NULL,NULL,Current
19,Touring End Caps,NA,NULL,NULL,NULL,NULL,NULL,Current
20,Fork End,NA,NULL,NULL,NULL,NULL,NULL,Current
21,Freewheel,Silver,NULL,NULL,NULL,NULL,NULL,Current
22,Flat Washer 1,NA,NULL,NULL,NULL,NULL,NULL,Current
23,Flat Washer 6,NA,NULL,NULL,NULL,NULL,NULL,Current
24,Flat Washer 2,NA,NULL,NULL,NULL,NULL,NULL,Current
25,Flat Washer 9,NA,NULL,NULL,NULL,NULL,NULL,Current
26,Flat Washer 4,NA,NULL,NULL,NULL,NULL,NULL,Current
27,Flat Washer 3,NA,NULL,NULL,NULL,NULL,NULL,Current
28,Flat Washer 8,NA,NULL,NULL,NULL,NULL,NULL,Current
29,Flat Washer 5,NA,NULL,NULL,NULL,NULL,NULL,Current
30,Flat Washer 7,NA,NULL,NULL,NULL,NULL,NULL,Current
31,Fork Crown,NA,NULL,NULL,NULL,NULL,NULL,Current
32,Front Derailleur Cage,Silver,NULL,NULL,NULL,NULL,NULL,Current
33,Front Derailleur Linkage,Silver,NULL,NULL,NULL,NULL,NULL,Current
34,Guide Pulley,NA,NULL,NULL,NULL,NULL,NULL,Current
35,LL Grip Tape,NA,NULL,NULL,NULL,NULL,NULL,Current
36,ML Grip Tape,NA,NULL,NULL,NULL,NULL,NULL,Current
37,HL Grip Tape,NA,NULL,NULL,NULL,NULL,NULL,Current
38,Thin-Jam Hex Nut 9,NA,NULL,NULL,NULL,NULL,NULL,Current
39,Thin-Jam Hex Nut 10,NA,NULL,NULL,NULL,NULL,NULL,Current
40,Thin-Jam Hex Nut 1,NA,NULL,NULL,NULL,NULL,NULL,Current
41,Thin-Jam Hex Nut 2,NA,NULL,NULL,NULL,NULL,NULL,Current
42,Thin-Jam Hex Nut 15,NA,NULL,NULL,NULL,NULL,NULL,Current
43,Thin-Jam Hex Nut 16,NA,NULL,NULL,NULL,NULL,NULL,Current
44,Thin-Jam Hex Nut 5,NA,NULL,NULL,NULL,NULL,NULL,Current
45,Thin-Jam Hex Nut 6,NA,NULL,NULL,NULL,NULL,NULL,Current
46,Thin-Jam Hex Nut 3,NA,NULL,NULL,NULL,NULL,NULL,Current
47,Thin-Jam Hex Nut 4,NA,NULL,NULL,NULL,NULL,NULL,Current
48,Thin-Jam Hex Nut 13,NA,NULL,NULL,NULL,NULL,NULL,Current
49,Thin-Jam Hex Nut 14,NA,NULL,NULL,NULL,NULL,NULL,Current
50,Thin-Jam Hex Nut 7,NA,NULL,NULL,NULL,NULL,NULL,Current
51,Thin-Jam Hex Nut 8,NA,NULL,NULL,NULL,NULL,NULL,Current
52,Thin-Jam Hex Nut 12,NA,NULL,NULL,NULL,NULL,NULL,Current
53,Thin-Jam Hex Nut 11,NA,NULL,NULL,NULL,NULL,NULL,Current
54,Hex Nut 5,NA,NULL,NULL,NULL,NULL,NULL,Current
55,Hex Nut 6,NA,NULL,NULL,NULL,NULL,NULL,Current
56,Hex Nut 16,NA,NULL,NULL,NULL,NULL,NULL,Current
57,Hex Nut 17,NA,NULL,NULL,NULL,NULL,NULL,Current
58,Hex Nut 7,NA,NULL,NULL,NULL,NULL,NULL,Current
59,Hex Nut 8,NA,NULL,NULL,NULL,NULL,NULL,Current
60,Hex Nut 9,NA,NULL,NULL,NULL,NULL,NULL,Current
61,Hex Nut 22,NA,NULL,NULL,NULL,NULL,NULL,Current
62,Hex Nut 23,NA,NULL,NULL,NULL,NULL,NULL,Current
63,Hex Nut 12,NA,NULL,NULL,NULL,NULL,NULL,Current
64,Hex Nut 13,NA,NULL,NULL,NULL,NULL,NULL,Current
65,Hex Nut 1,NA,NULL,NULL,NULL,NULL,NULL,Current
66,Hex Nut 10,NA,NULL,NULL,NULL,NULL,NULL,Current
67,Hex Nut 11,NA,NULL,NULL,NULL,NULL,NULL,Current
68,Hex Nut 2,NA,NULL,NULL,NULL,NULL,NULL,Current
